ocd-division/country:us/state:nc/county:franklin/precinct:7	ocd-division/country:us/state:nc/county:franklin/precinct:07
ocd-division/country:us/state:nc/county:franklin/precinct:8	ocd-division/country:us/state:nc/county:franklin/precinct:08
ocd-division/country:us/state:nc/county:franklin/precinct:9	ocd-division/country:us/state:nc/county:franklin/precinct:09
ocd-division/country:us/state:nc/county:carteret/precinct:absentee	ocd-division/country:us/state:nc/county:carteret/precinct:absentee
ocd-division/country:us/state:nc/county:carteret/precinct:atsl	ocd-division/country:us/state:nc/county:carteret/precinct:atln
ocd-division/country:us/state:nc/county:carteret/precinct:cisl	ocd-division/country:us/state:nc/county:carteret/precinct:cdis
ocd-division/country:us/state:nc/county:carteret/precinct:dasw	ocd-division/country:us/state:nc/county:carteret/precinct:davi
ocd-division/country:us/state:nc/county:carteret/precinct:masm	ocd-division/country:us/state:nc/county:carteret/precinct:mars
ocd-division/country:us/state:nc/county:carteret/precinct:os-boe	ocd-division/country:us/state:nc/county:carteret/precinct:one_stop
ocd-division/country:us/state:nc/county:carteret/precinct:os-cen	ocd-division/country:us/state:nc/county:carteret/precinct:one_stop
ocd-division/country:us/state:nc/county:carteret/precinct:os-eas	ocd-division/country:us/state:nc/county:carteret/precinct:one_stop
ocd-division/country:us/state:nc/county:carteret/precinct:os-mhd	ocd-division/country:us/state:nc/county:carteret/precinct:one_stop
ocd-division/country:us/state:nc/county:carteret/precinct:os-wes	ocd-division/country:us/state:nc/county:carteret/precinct:one_stop
ocd-division/country:us/state:nc/county:carteret/precinct:otbe	ocd-division/country:us/state:nc/county:carteret/precinct:otst
ocd-division/country:us/state:nc/county:carteret/precinct:wiha	ocd-division/country:us/state:nc/county:carteret/precinct:will
ocd-division/country:us/state:nc/county:lee/precinct:a1	ocd-division/country:us/state:nc/county:lee/precinct:a
ocd-division/country:us/state:nc/county:lee/precinct:a2	ocd-division/country:us/state:nc/county:lee/precinct:a
ocd-division/country:us/state:nc/county:lee/precinct:absentee	ocd-division/country:us/state:nc/county:lee/precinct:absentee
ocd-division/country:us/state:nc/county:lee/precinct:b1	ocd-division/country:us/state:nc/county:lee/precinct:b
ocd-division/country:us/state:nc/county:lee/precinct:b2	ocd-division/country:us/state:nc/county:lee/precinct:b
ocd-division/country:us/state:nc/county:lee/precinct:c1	ocd-division/country:us/state:nc/county:lee/precinct:c
ocd-division/country:us/state:nc/county:lee/precinct:c2	ocd-division/country:us/state:nc/county:lee/precinct:c
ocd-division/country:us/state:nc/county:lee/precinct:d1	ocd-division/country:us/state:nc/county:lee/precinct:d
ocd-division/country:us/state:nc/county:lee/precinct:d2	ocd-division/country:us/state:nc/county:lee/precinct:d
ocd-division/country:us/state:nc/county:lee/precinct:e1	ocd-division/country:us/state:nc/county:lee/precinct:e
ocd-division/country:us/state:nc/county:lee/precinct:e2	ocd-division/country:us/state:nc/county:lee/precinct:e
ocd-division/country:us/state:nc/county:lee/precinct:os-paper	ocd-division/country:us/state:nc/county:lee/precinct:one_stop
ocd-division/country:us/state:nc/county:cumberland/precinct:absentee_1-30	ocd-division/country:us/state:nc/county:cumberland/precinct:absentee
ocd-division/country:us/state:nc/county:cumberland/precinct:absentee_31-57	ocd-division/country:us/state:nc/county:cumberland/precinct:absentee
ocd-division/country:us/state:nc/county:cumberland/precinct:cl57-1	ocd-division/country:us/state:nc/county:cumberland/precinct:cl57
ocd-division/country:us/state:nc/county:cumberland/precinct:cl57-2	ocd-division/country:us/state:nc/county:cumberland/precinct:cl57
ocd-division/country:us/state:nc/county:cumberland/precinct:g10a	ocd-division/country:us/state:nc/county:cumberland/precinct:g10
ocd-division/country:us/state:nc/county:cumberland/precinct:g10b	ocd-division/country:us/state:nc/county:cumberland/precinct:g10
ocd-division/country:us/state:nc/county:cumberland/precinct:g10c	ocd-division/country:us/state:nc/county:cumberland/precinct:g10
ocd-division/country:us/state:nc/county:cumberland/precinct:g11a-1	ocd-division/country:us/state:nc/county:cumberland/precinct:g11
ocd-division/country:us/state:nc/county:cumberland/precinct:g11a-2	ocd-division/country:us/state:nc/county:cumberland/precinct:g11
ocd-division/country:us/state:nc/county:cumberland/precinct:g11b	ocd-division/country:us/state:nc/county:cumberland/precinct:g11
ocd-division/country:us/state:nc/county:cumberland/precinct:g1a	ocd-division/country:us/state:nc/county:cumberland/precinct:g1
